root	mode	first_line	verdict
testdir:fixedbugs/issue22877.go	compiled	Bash++ backend unsupported generate phase: compile input "/srv/sprint162/barrier-c/evidence/goroot/test/fixedbugs/issue22877.dir/p.s" is not a Go source file	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue23586.go	interpreted	test/fixedbugs/issue23586.go:15:2: "fmt" imported and not used	missing=0;wording=0;extra=3;class=extra
testdir:fixedbugs/issue23586.go	compiled	test/fixedbugs/issue23586.go:15:2: "fmt" imported and not used	missing=0;wording=0;extra=3;class=extra
testdir:fixedbugs/issue24693.go	interpreted	test/fixedbugs/issue24693.dir/b.go:9:1: cyclic type declaration: __gosource_pkg_1_T	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue24693.go	compiled	test/fixedbugs/issue24693.dir/b.go:9:1: LOWER-ETYPE: invalid recursive type: __gosource_pkg_1_T refers to itself	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue34968.go	interpreted	fixedbugs/issue34968.go:12:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint162/barrier-c/evidence/goroot/bin/go (GOROOT=/srv/sprint162/barrier-c/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue34968.go	compiled	fixedbugs/issue34968.go:12:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint162/barrier-c/evidence/goroot/bin/go (GOROOT=/srv/sprint162/barrier-c/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue36705.go	interpreted	fixedbugs/issue36705.go:13:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint162/barrier-c/evidence/goroot/bin/go (GOROOT=/srv/sprint162/barrier-c/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue36705.go	compiled	fixedbugs/issue36705.go:13:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint162/barrier-c/evidence/goroot/bin/go (GOROOT=/srv/sprint162/barrier-c/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue37513.go	interpreted	Bash++ backend unsupported generate phase: compile input "/srv/sprint162/barrier-c/evidence/goroot/test/fixedbugs/issue37513.dir/sigill_amd64.s" is not a Go source file	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue37513.go	compiled	Bash++ backend unsupported generate phase: compile input "/srv/sprint162/barrier-c/evidence/goroot/test/fixedbugs/issue37513.dir/sigill_amd64.s" is not a Go source file	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue37837.go	interpreted	a.go:7: missing error "can inline F"	missing=9;wording=0;extra=0;class=missing
testdir:fixedbugs/issue37837.go	compiled	test/fixedbugs/issue37837.dir/a.go:7:6: can inline __gosource_pkg_0_F	missing=0;wording=10;extra=10;class=wording
testdir:fixedbugs/issue42284.go	interpreted	a.go:10: missing error "can inline T.M"	missing=13;wording=0;extra=0;class=missing
testdir:fixedbugs/issue42284.go	compiled	test/fixedbugs/issue42284.dir/a.go:12:6: can inline __gosource_pkg_0_E	missing=0;wording=7;extra=7;class=wording
testdir:fixedbugs/issue4370.go	compiled	test/fixedbugs/issue4370.dir/p2.go:9:1: LOWER-ETYPE: invalid recursive type: __gosource_pkg_1_T refers to itself	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue47185.go	interpreted	Bash++ backend unsupported execute phase: module package issue47185.dir/bad has non-Go inputs [bad.go]	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue47185.go	compiled	Bash++ backend unsupported execute phase: module package issue47185.dir/bad has non-Go inputs [bad.go]	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue47227.go	interpreted	fixedbugs/issue47227.go:12:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint162/barrier-c/evidence/goroot/bin/go (GOROOT=/srv/sprint162/barrier-c/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue47227.go	compiled	fixedbugs/issue47227.go:12:8: could not import C (go list failed using go SDK go1.27.0 at /srv/sprint162/barrier-c/evidence/goroot/bin/go (GOROOT=/srv/sprint162/barrier-c/evidence/goroot, found via GOROOT, meets go1.27.0): exit status 1	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue47317.go	interpreted	Bash++ backend unsupported generate phase: compile input "/srv/sprint162/barrier-c/evidence/goroot/test/fixedbugs/issue47317.dir/a.s" is not a Go source file	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue47317.go	compiled	Bash++ backend unsupported generate phase: compile input "/srv/sprint162/barrier-c/evidence/goroot/test/fixedbugs/issue47317.dir/a.s" is not a Go source file	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue54911.go	compiled	test/fixedbugs/issue54911.go:16:2: LOWER-ETYPE: cannot use generic type Set without instantiation	missing=0;wording=0;extra=0;class=-
testdir:fixedbugs/issue56280.go	interpreted	a.go:7: missing error "can inline F"	missing=5;wording=0;extra=0;class=missing
testdir:fixedbugs/issue56280.go	compiled	test/fixedbugs/issue56280.dir/a.go:11:6: can inline __gosource_pkg_0_g[go.shape.int]	missing=0;wording=2;extra=2;class=wording
testdir:fixedbugs/issue6847.go	compiled	test/fixedbugs/issue6847.go:32:2: LOWER-ETYPE: cannot use cr (variable of type <-chan int) as chan int value in send	missing=0;wording=0;extra=0;class=-
